url_path,views_total,views_unique
/Significant-Gravitas/AutoGPT,20743,14266
/significant-gravitas/autogpt,3320,2641
/Significant-Gravitas/AutoGPT/issues,861,389
/Significant-Gravitas/AutoGPT/pulls,593,239
/Significant-Gravitas/AutoGPT/releases,572,340
/Significant-Gravitas/AutoGPT/blob/master/classic/FORGE-QUICKSTART.md,477,357
/Significant-Gravitas/AutoGPT/releases/tag/autogpt-platform-beta-v0.6.53,467,365
/Significant-Gravitas/AutoGPT/tree/master/autogpt_platform,466,346
/Significant-Gravitas/AutoGPT/tree/master/.claude/skills,431,361
/Significant-Gravitas/AutoGPT/tree/master,303,189
